Year (CE),Depth Jan. 1 (m)
2013,2.73301
2012,6.818562
2011,10.692792
2010,13.827397
2009,16.888
2008,19.138216
2007,21.730188
2006,24.54682
2005,27.153014
2004,29.732285
2003,32.505981
2002,35.493115
2001,37.437234
2000,39.796993
1999,41.593227
1998,44.252976
1997,45.928659
1996,47.052369
1995,48.742942
1994,50.753911
1993,53.120888
1992,54.483847
1991,55.824073
1990,57.240315
1989,59.132689
1988,61.222224
1987,62.526483
1986,64.160771
1985,65.685599
1984,66.781988
1983,67.949216
1982,69.283492
1981,70.544739
1980,72.248989
1979,73.767666
1978,74.741771
1977,76.079366
1976,77.367005
1975,78.381782
1974,79.387493
1973,80.223716
1972,80.958208
1971,81.858945
1970,82.931545
1969,84.126036
1968,84.833392
1967,85.991424
1966,87.074458
1965,88.164356
1964,88.807284
1963,89.792791
1962,90.61342
1961,91.754607
1960,92.741926
1959,93.486059
1958,94.344717
1957,95.091707
1956,95.528755
1955,96.191961
1954,96.939644
1953,97.579526
1952,98.360016
1951,99.093176
1950,99.53967
1949,100.065385
1948,100.571249
1947,101.214224
1946,101.74511
1945,102.606305
1944,103.369882
1943,104.11724
1942,104.784001
1941,105.373828
1940,106.040589
1939,106.751998
1938,107.626109
1937,108.145106
1936,108.584245
1935,109.159405
1934,109.8164
1933,110.099032
1932,110.53599
1931,111.176861
1930,111.774037
1929,112.269256
1928,112.835061
1927,113.215998
1926,113.696651
1925,114.313122
1924,114.830913
1923,115.386221
1922,115.857083
1921,116.256963
1920,116.609703
1919,117.168851
1918,117.585691
1917,118.025562
1916,118.392723
1915,118.789068
1914,119.202728
1913,119.566248
1912,120.058401
1911,120.416819
1910,120.727494
1909,120.991097
1908,121.296102
1907,121.584411
1906,121.806336
1905,122.110888
1904,122.612295
1903,122.934054
1902,123.174661
1901,123.48009
1900,123.809593
1899,124.176755
1898,124.494975
1897,124.901664
1896,125.137023
1895,125.419194
1894,125.746087
1893,125.94665
1892,126.271397
1891,126.510733
1890,126.763514
1889,127.219622
1888,127.519693
1887,127.867199
1886,128.09583
1885,128.375576
1884,128.671967
1883,128.960036
1882,129.374968
1881,129.644526
1880,130.008045
1879,130.246214
1878,130.581457
1877,130.853342
1876,131.075755
1875,131.320644
1874,131.601025
1873,131.900322
1872,132.126489
1871,132.272241
1870,132.56522
1869,132.866989
1868,133.227752
1867,133.41604
1866,133.631665
1865,133.759111
1864,133.989401
1863,134.244507
1862,134.402209
1861,134.604607
1860,134.908203
1859,135.067557
1858,135.336577
1857,135.562523
1856,135.797883
1855,136.052072
1854,136.221531
1853,136.376002
1852,136.707362
1851,136.969266
1850,137.16753
1849,137.333472
1848,137.534691
1847,137.733539
1846,137.896335
1845,138.13638
1844,138.35987
1843,138.55025
1842,138.757185
1841,138.912795
1840,139.178207
1839,139.327096
1838,139.498063
1837,139.642867
1836,139.824679
1835,139.94138
1834,140.110383
1833,140.302654
1832,140.549777
1831,140.786348
1830,140.950697
1829,141.097031
1828,141.256184
1827,141.447341
1826,141.654276
1825,141.794992
1824,141.941454
1823,142.104205
1822,142.316469
1821,142.465462
1820,142.647565
1819,142.879332
1818,143.076645
1817,143.273208
1816,143.392531
1815,143.495997
1814,143.657408
1813,143.845563
1812,144.012517
1811,144.16233
1810,144.340686
1809,144.518258
1808,144.667251
1807,144.859256
1806,145.041716
1805,145.169442
1804,145.40394
1803,145.602598
1802,145.802222
1801,145.98213
1800,146.217871
1799,146.459816
1798,146.703493
1797,146.8704552
1796,147.0289451
1795,147.2026744
1794,147.385223
1793,147.616244
1792,147.850506
1791,148.058371
1790,148.191971
1789,148.290143
1788,148.407785
1787,148.57612
1786,148.691365
1785,148.792416
1784,148.87917
1783,149.043525
1782,149.18325
1781,149.387973
1780,149.549296
1779,149.660272
1778,149.79259
1777,149.971123
1776,150.095641
1775,150.262362
1774,150.436402
1773,150.548069
1772,150.740156
1771,150.883729
1770,151.094835
1769,151.2215436
1768,151.345772
1767,151.531289
1766,151.766686
1765,151.92248
1764,152.04597
1763,152.145714
1762,152.290861
1761,152.413337
1760,152.524313
1759,152.673704
1758,152.768119
1757,152.884347
1756,153.011807
1755,153.11334
1754,153.173097
1753,153.254871
1752,153.339561
1751,153.470319
1750,153.574053
1749,153.676758
1748,153.741623
1747,153.861316
1746,153.96106
1745,154.055385
1744,154.200447
1743,154.295664
1742,154.389567
1741,154.483721
1740,154.568836
1739,154.635332
1738,154.695178
1737,154.744466
1736,154.804605
1735,154.874718
1734,154.930575
1733,154.987437
1732,155.085719
1731,155.157992
1730,155.237787
1729,155.294137
1728,155.357481
1727,155.409348
1726,155.47834
1725,155.545922
1724,155.594196
1723,155.696433
1722,155.82853
1721,155.961071
1720,156.041526
1719,156.119298
1718,156.192782
1717,156.282607
1716,156.392311
1715,156.526512
1714,156.621186
1713,156.708847
1712,156.781714
1711,156.876092
1710,156.98235
1709,157.071353
1708,157.15066
1707,157.234573
1706,157.364553
1705,157.49746
1704,157.624885
1703,157.695685
1702,157.785795
1701,157.913594
1700,158.001223
1699,158.085088
1698,158.172497
1697,158.291991
1696,158.365072
1695,158.445528
1694,158.566827
1693,158.710219
1692,158.821747
1691,158.90895
1690,158.966877
1689,159.021587
1688,159.128447
1687,159.246338
1686,159.327256
1685,159.408174
1684,159.485046
1683,159.557872
1682,159.645919
1681,159.729899
1680,159.800393
1679,159.87763
1678,159.960921
1677,160.041759
1676,160.112161
1675,160.1856925
1674,160.234851
1673,160.318525
1672,160.411014
1671,160.479435
1670,160.549119
1669,160.623614
1668,160.674542
1667,160.746546
1666,160.807692
1665,160.897126
1664,160.962166
1663,161.036185
1662,161.113422
1661,161.174568
1660,161.23951
1659,161.312694
1658,161.384391
1657,161.439218
1656,161.524182
1655,161.599479
1654,161.687108
1653,161.737754
1652,161.7989
1651,161.884268
1650,161.98137
1649,162.105336
1648,162.196948
1647,162.284577
1646,162.400705
1645,162.470924
1644,162.543751
1643,162.635092
1642,162.709653
1641,162.802689
1640,162.855285
1639,162.91423
1638,162.986746
1637,163.055234
1636,163.107607
1635,163.188746
1634,163.272392
1633,163.364004
1632,163.439973
1631,163.52286
1630,163.595025
1629,163.67565
1628,163.759249
1627,163.853928
1626,163.925625
1625,164.005645
1624,164.073616
1623,164.160629
1622,164.240712
1621,164.292038
1620,164.348333
1619,164.431027
1618,164.511601
1617,164.569239
1616,164.642875
1615,164.713457
1614,164.811737
1613,164.860963
1612,164.92282
1611,164.999724
1610,165.071587
1609,165.113009
1608,165.188418
1607,165.254616
1606,165.327408
1605,165.400744
1604,165.451319
1603,165.494598
1602,165.549097
1601,165.5933
1600,165.643503
1599,165.696032
1598,165.750419
1597,165.824949
1596,165.9054
1595,165.943795
1594,165.987412
1593,166.056598
1592,166.108792
1591,166.175444
1590,166.246111
1589,166.288935
1588,166.341276
1587,166.395007
1586,166.43328
1585,166.481644
1584,166.536992
1583,166.577452
1582,166.646799
1581,166.681491
1580,166.729074
1579,166.803429
1578,166.886506
1577,166.954993
1576,167.005352
1575,167.075853
1574,167.127032
1573,167.16412
1572,167.221438
1571,167.300064
1570,167.383334
1569,167.440433
1568,167.48275
1567,167.544408
1566,167.610841
1565,167.687862
1564,167.72117
1563,167.750788
1562,167.795859
1561,167.862053
1560,167.956459
1559,167.996406
1558,168.044122
1557,168.10144
1556,168.168873
1555,168.21194
1554,168.280265
1553,168.320598
1552,168.354958
1551,168.421266
1550,168.48009
1549,168.52964
1548,168.578289
1547,168.633009
1546,168.702105
1545,168.748894
1544,168.820882
1543,168.856647
1542,168.908987
1541,168.932779
1540,168.974388
1539,169.029629
1538,169.062021
1537,169.124593
1536,169.184015
1535,169.270615
1534,169.329268
1533,169.372183
1532,169.434775
1531,169.476171
1530,169.517436
1529,169.5554
1528,169.632242
1527,169.69075
1526,169.738663
1525,169.794023
1524,169.854159
1523,169.918533
1522,169.974653
1521,170.0104
1520,170.062864
1519,170.129172
1518,170.164472
1517,170.232574
1516,170.292934
1515,170.341522
1514,170.400508
1513,170.4348
1512,170.477624
1511,170.529965
1510,170.582075
1509,170.634708
1508,170.687341
1507,170.739974
1506,170.792608
1505,170.845241
1504,170.897874
1503,170.950508
1502,171.003141
1501,171.055774
1500,171.108407
1499,171.161041
1498,171.213674
1497,171.266307
1496,171.318941
1495,171.371574
1494,171.424207
1493,171.47684
1492,171.529474
1491,171.582107
1490,171.63474
1489,171.687374
1488,171.746242
1487,171.786445
1486,171.836973
1485,171.876901
1484,171.932123
1483,171.997136
1482,172.069119
1481,172.10511
1480,172.170036
1479,172.227241
1478,172.303267
1477,172.376566
1476,172.443635
1475,172.523019
1474,172.57758
1473,172.62209
1472,172.670908
1471,172.725469
1470,172.761344
1469,172.793146
1468,172.830036
1467,172.876637
1466,172.915265
1465,172.966686
1464,173.004018
1463,173.073002
1462,173.131203
1461,173.182401
1460,173.218019
1459,173.252365
1458,173.295363
1457,173.364358
1456,173.41179
1455,173.462043
1454,173.503682
1453,173.546214
1452,173.593359
1451,173.642892
1450,173.673108
1449,173.742027
1448,173.785364
1447,173.843168
1446,173.914541
1445,173.99186
1444,174.049292
1443,174.125391
1442,174.190002
1441,174.249998
1440,174.290378
1439,174.329812
1438,174.386227
1437,174.430737
1436,174.46412
1435,174.501542
1434,174.564268
1433,174.621142
1432,174.703802
1431,174.756668
1430,174.8141
1429,174.880467
1428,174.946196
1427,174.990706
1426,175.040959
1425,175.081162
1424,175.152953
1423,175.206078
1422,175.24189
1421,175.2915
1420,175.328123
1419,175.38123
1418,175.445097
1417,175.491806
1416,175.515386
1415,175.560725
1414,175.604431
1413,175.645438
1412,175.684572
1411,175.72019
1410,175.772345
1409,175.822044
1408,175.876655
1407,175.918244
1406,175.942803
1405,175.972805
1404,176.036936
1403,176.077945
1402,176.11495
1401,176.156511
1400,176.205407
1399,176.249242
1398,176.285813
1397,176.34181
1396,176.370578
1395,176.399127
1394,176.420786
1393,176.471033
1392,176.5256
1391,176.575183
1390,176.61815
1389,176.664982
1388,176.706507
1387,176.740967
1386,176.776487
1385,176.813095
1384,176.865436
1383,176.91064
1382,176.96639
1381,177.029566
1380,177.060525
1379,177.102792
1378,177.145867
1377,177.174723
1376,177.200207
1375,177.229443
1374,177.272267
1373,177.303807
1372,177.326208
1371,177.360295
1370,177.38783
1369,177.411493
1368,177.438168
1367,177.470049
1366,177.490856
1365,177.522429
1364,177.552563
1363,177.5894333
1362,177.62041
1361,177.644991
1360,177.667971
1359,177.693489
1358,177.723781
1357,177.750044
1356,177.775213
1355,177.797099
1354,177.828746
1353,177.855097
1352,177.888271
1351,177.919784
1350,177.944829
1349,177.972187
1348,178.010822
1347,178.034562
1346,178.057681
1345,178.093654
1344,178.1257
1343,178.183682
1342,178.207098
1341,178.243669
1340,178.275182
1339,178.311913
1338,178.339789
1337,178.372126
1336,178.413466
1335,178.455755
1334,178.49335
1333,178.525085
1332,178.563915
1331,178.611534
1330,178.646429
1329,178.678287
1328,178.721137
1327,178.753794
1326,178.773491
1325,178.794731
1324,178.815075
1323,178.84942
1322,178.887391
1321,178.905902
1320,178.926966
1319,178.958428
1318,178.998785
1317,179.028463
1316,179.063005
1315,179.08865
1314,179.109442
1313,179.129139
1312,179.147742
1311,179.165251
1310,179.184999
1309,179.210175
1308,179.238619
1307,179.278195
1306,179.304309
1305,179.341267
1304,179.369712
1303,179.396858
1302,179.435258
1301,179.463092
1300,179.484727
1299,179.516882
1298,179.546563
1297,179.575008
1296,179.614583
1295,179.666632
1294,179.70239
1293,179.73975
1292,179.77711
1291,179.81447
1290,179.85183
1289,179.88919
1288,179.92655
1287,179.96391
1286,180.00127
1285,180.03863
1284,180.07599
1283,180.114952
1282,180.150633
1281,180.194354
1280,180.227572
1279,180.286276
1278,180.320199
1277,180.357405
1276,180.402374
1275,180.435101
1274,180.46027
1273,180.499665
1272,180.53965
1271,180.574077
1270,180.599246
1269,180.634566
1268,180.655791
1267,180.70166
1266,180.727631
1265,180.754839
1264,180.784918
1263,180.827596
1262,180.879748
1261,180.910666
1260,180.952715
1259,180.997237
1258,181.020193
1257,181.051928
1256,181.08257
1255,181.102887
1254,181.128329
1253,181.146038
1252,181.169018
1251,181.194187
1250,181.21279
1249,181.22974
1248,181.253238
1247,181.280637
1246,181.303617
1245,181.340823
1244,181.364924
1243,181.381312
1242,181.4086865
1241,181.436027
1240,181.462752
1239,181.493392
1238,181.516372
1237,181.533973
1236,181.556234
1235,181.584267
1234,181.612299
1233,181.640331
1232,181.668364
1231,181.696396
1230,181.724428
1229,181.740506
1228,181.764003
1227,181.787759
1226,181.815946
1225,181.841052
1224,181.864468
1223,181.909227
1222,181.931113
1221,181.959564
1220,181.9874313
1219,182.011709
1218,182.035859
1217,182.057372
1216,182.085551
1215,182.105319
1214,182.128185
1213,182.156611
1212,182.192119
1211,182.227943
1210,182.274807
1209,182.308258
1208,182.34589
1207,182.365126
1206,182.390533
1205,182.414188
1204,182.428012
1203,182.447302
1202,182.468826
1201,182.490012
1200,182.5184
1199,182.542651
1198,182.569089
1197,182.619616
1196,182.649166
1195,182.661842
1194,182.681552
1193,182.709677
1192,182.739555
1191,182.775465
1190,182.797275
1189,182.824983
1188,182.843483
1187,182.860808
1186,182.89366
1185,182.921147
1184,182.950528
1183,182.970043
1182,183.005901
1181,183.049767
1180,183.060918
1179,183.075987
1178,183.084334
1177,183.105325
1176,183.137857
1175,183.162371
1174,183.181162
1173,183.198799
1172,183.221047
1171,183.243442
1170,183.263424
1169,183.302884
1168,183.33351
1167,183.370902
1166,183.392186
1165,183.406584
1164,183.43855
1163,183.468791
1162,183.489098
1161,183.520319
1160,183.555524
1159,183.584184
1158,183.599617
1157,183.618907
1156,183.635441
1155,183.656229
1154,183.697612
1153,183.719217
1152,183.745672
1151,183.763401
1150,183.79477
1149,183.830549
1148,183.864855
1147,183.886216
1146,183.911569
1145,183.939579
1144,183.96188
1143,183.985515
1142,184.003137
1141,184.020977
1140,184.048854
1139,184.071852
1138,184.093041
1137,184.109957
1136,184.127477
1135,184.153376
1134,184.172624
1133,184.197156
1132,184.213554
1131,184.240215
1130,184.265174
1129,184.28413
1128,184.319513
1127,184.339354
1126,184.359048
1125,184.381138
1124,184.397865
1123,184.418464
1122,184.439122
1121,184.464466
1120,184.488268
1119,184.501495
1118,184.514172
1117,184.531809
1116,184.553972
1115,184.568527
1114,184.584524
1113,184.605091
1112,184.6153
1111,184.630911
1110,184.649755
1109,184.667554
1108,184.682824
1107,184.700309
1106,184.71424
1105,184.726916
1104,184.747537
1103,184.771008
1102,184.788133
1101,184.806192
1100,184.825572
1099,184.858752
1098,184.872877
1097,184.887853
1096,184.900529
1095,184.918594
1094,184.93911
1093,184.955391
1092,184.977584
1091,184.996798
1090,185.020242
1089,185.037206
1088,185.054169
1087,185.071133
1086,185.088097
1085,185.10506
1084,185.122024
1083,185.138988
1082,185.155951
1081,185.172915
1080,185.189879
1079,185.206842
1078,185.223806
1077,185.24077
1076,185.257733
1075,185.274697
1074,185.291661
1073,185.308624
1072,185.325588
1071,185.342552
1070,185.359515
1069,185.376479
1068,185.393443
1067,185.410406
1066,185.42737
1065,185.444334
1064,185.461624
1063,185.47862
1062,185.500141
1061,185.518854
1060,185.534102
1059,185.548065
1058,185.561979
1057,185.578378
1056,185.597117
1055,185.608309
1054,185.625777
1053,185.636249
1052,185.662333
1051,185.681443
1050,185.702766
1049,185.712859
1048,185.724094
1047,185.739314
1046,185.768263
1045,185.794175
1044,185.815504
1043,185.842972
1042,185.864977
1041,185.877653
1040,185.897495
1039,185.916816
1038,185.938145
1037,185.965414
1036,185.986357
1035,186.000194
1034,186.014319
1033,186.034308
1032,186.050842
1031,186.060024
1030,186.072888
1029,186.093281
1028,186.114108
1027,186.135168
1026,186.14991
1025,186.166337
1024,186.184178
1023,186.196346
1022,186.214658
1021,186.235478
1020,186.254768
1019,186.263587
1018,186.282302
1017,186.296165
1016,186.312923
1015,186.325316
1014,186.33917
1013,186.355629
1012,186.377672
1011,186.393668
1010,186.411188
1009,186.423376
1008,186.434041
1007,186.452905
1006,186.462931
1005,186.475937
1004,186.491591
1003,186.512003
1002,186.534591
1001,186.550013
1000,186.56269
999,186.584481
998,186.599066
997,186.61064
996,186.626853
995,186.641349
994,186.662564
993,186.681608
992,186.700651
991,186.714808
990,186.729138
989,186.743933
988,186.766162
987,186.801202
986,186.824816
985,186.850391
984,186.894465
983,186.915628
982,186.928856
981,186.950504
980,186.979562
979,186.99775
978,187.012967
977,187.036077
976,187.05507
975,187.082627
974,187.104673
973,187.135317
972,187.16034
971,187.182386
970,187.20188
969,187.221685
968,187.243477
967,187.261317
966,187.289309
965,187.31484
964,187.33747
963,187.354229
962,187.371708
961,187.391554
960,187.428422
959,187.462027
958,187.496593
957,187.514309
956,187.53856
955,187.559443
954,187.572417
953,187.585408
952,187.601339
951,187.618134
950,187.644895
949,187.659391
948,187.674466
947,187.68682
946,187.703354
945,187.725179
944,187.738077
943,187.750202
942,187.760252
941,187.776357
940,187.792462
939,187.808567
938,187.824672
937,187.840777
936,187.856882
935,187.872987
934,187.889092
933,187.902449
932,187.921271
931,187.938792
930,187.961644
929,187.975752
928,187.988331
927,188.011747
926,188.027916
925,188.045748
924,188.057323
923,188.079714
922,188.099836
921,188.117398
920,188.137748
919,188.154325
918,188.1712
917,188.18712
916,188.206881
915,188.233642
914,188.256957
913,188.273198
912,188.292241
911,188.309
910,188.320426
909,188.342784
908,188.36174
907,188.379581
906,188.395192
905,188.420214
904,188.428643
903,188.443246
902,188.459781
901,188.47882
900,188.500959
899,188.51655
898,188.529144
897,188.544107
896,188.561137
895,188.585865
894,188.603924
893,188.620432
892,188.635891
891,188.651874
890,188.675023
889,188.707541
888,188.733052
887,188.756042
886,188.773194
885,188.792418
884,188.812811
883,188.837061
882,188.860503
881,188.876193
880,188.891625
879,188.906969
878,188.922966
877,188.935166
876,188.955721
875,188.970956
874,188.988476
873,189.007199
872,189.026563
871,189.050686
870,189.064066
869,189.080647
868,189.102738
867,189.116449
866,189.131485
865,189.15149
864,189.166724
863,189.184947
862,189.194867
861,189.207859
860,189.22157
859,189.23909
858,189.256596
857,189.269236
856,189.285808
855,189.297745
854,189.319979
853,189.340923
852,189.355095
851,189.370685
850,189.383913
849,189.396771
848,189.413124
847,189.433516
846,189.454334
845,189.47552
844,189.487419
843,189.50113
842,189.515872
841,189.530614
840,189.545356
839,189.560097
838,189.574839
837,189.589581
836,189.614383
835,189.631389
834,189.649671
833,189.663964
832,189.677094
831,189.687758
830,189.701465
829,189.714141
828,189.728471
827,189.740045
826,189.757384
825,189.773835
824,189.792879
823,189.810791
822,189.830966
821,189.846201
820,189.863721
819,189.875909
818,189.89547
817,189.914793
816,189.928469
815,189.9422
814,189.965795
813,189.993024
812,190.013174
811,190.038042
810,190.052634
809,190.078276
808,190.1003221
807,190.1322889
806,190.1482723
805,190.1598465
804,190.1686649
803,190.1791368
802,190.1934667
801,190.2100013
800,190.2188197
799,190.2331497
798,190.2469285
797,190.2551958
796,190.263463
795,190.2761395
794,190.2954298
793,190.314169
792,190.3384197
791,190.3527496
790,190.3665284
789,190.3770003
788,190.3880234
787,190.3973929
786,190.4062114
785,190.4177856
784,190.433769
783,190.4442408
782,190.4580196
781,190.4706961
780,190.4866795
779,190.5015606
778,190.5140413
777,190.5366385
776,190.5449058
775,190.5553776
774,190.5669518
773,190.5812818
772,190.6000209
771,190.618209
770,190.6308855
769,190.6452154
768,190.672773
767,190.6887564
766,190.7003306
765,190.7196209
764,190.7367066
763,190.7504854
762,190.7637131
761,190.7813499
760,190.8000891
759,190.8243398
758,190.8392209
757,190.8557554
756,190.876148
755,190.8910291
754,190.9064614
753,190.9180356
752,190.9351213
751,190.9466955
750,190.9577185
749,190.9654346
748,190.9748042
747,190.988583
746,191.0128337
745,191.0294728
744,191.041047
743,191.0509677
742,191.0641954
741,191.0763207
740,191.0923041
739,191.1022248
738,191.1126967
737,191.1242709
736,191.1363963
735,191.1523797
734,191.1650562
733,191.1777327
732,191.1942672
731,191.219069
730,191.2378082
729,191.2582008
728,191.2785934
727,191.2984349
726,191.3237879
725,191.3529989
724,191.371187
723,191.3860681
722,191.4009492
721,191.4125233
720,191.4235464
719,191.4356717
718,191.4461436
717,191.4593713
716,191.4720478
715,191.4836219
714,191.494645
713,191.5095261
712,191.5261522
711,191.539931
710,191.5520564
709,191.5663863
708,191.5801651
707,191.5878812
706,191.5989043
705,191.6126831
704,191.6242572
703,191.6391383
702,191.6562241
701,191.6760655
700,191.6876397
699,191.7085835
698,191.7207088
697,191.7361411
696,191.7570848
695,191.7763752
694,191.794012
693,191.8133023
692,191.82653
691,191.8408599
690,191.8535364
689,191.8662129
688,191.8838498
687,191.8981797
686,191.9114074
685,191.9251862
684,191.9395161
683,191.9554995
682,191.9703806
681,191.9852617
680,192.0051032
679,192.0199843
678,192.0476474
677,192.0696935
676,192.0878815
675,192.1055184
674,192.1325248
673,192.1485082
672,192.1760658
671,192.1942538
670,192.212993
669,192.2306298
668,192.2460621
667,192.2625967
666,192.2796824
665,192.2879496
664,192.3094446
663,192.3243257
662,192.3342464
661,192.347474
660,192.3557413
659,192.3711736
658,192.3866058
657,192.3954243
656,192.4031404
655,192.4108565
654,192.4279422
653,192.448886
652,192.4648694
651,192.4869155
650,192.4990408
649,192.5095127
648,192.517893
647,192.5327741
646,192.5482063
645,192.5647409
644,192.5757639
643,192.5834801
642,192.5922985
641,192.6005658
640,192.6110376
639,192.6171003
638,192.6264699
637,192.641351
636,192.6545786
635,192.6727667
634,192.6832385
633,192.6970173
632,192.7107961
631,192.7361491
630,192.7548883
629,192.771974
628,192.7852016
627,192.7940201
626,192.80835
625,192.8204754
624,192.8326007
623,192.8430726
622,192.8596071
621,192.8706302
620,192.8816532
619,192.8937786
618,192.9053527
617,192.9152735
616,192.9296034
615,192.9477914
614,192.9626725
613,192.9792071
612,192.9946394
611,193.004113
610,193.0184429
609,193.0460005
608,193.0581259
607,193.0680466
606,193.0807231
605,193.0917461
604,193.1055249
603,193.116548
602,193.1341848
601,193.1474125
600,193.1595378
599,193.1771747
598,193.1893
597,193.2008742
596,193.2124484
595,193.2245737
594,193.2339433
593,193.2444152
592,193.2598474
591,193.2714216
590,193.2868539
589,193.3022861
588,193.319923
587,193.349134
586,193.3651175
585,193.3777939
584,193.3893681
583,193.4020446
582,193.4174769
581,193.436216
580,193.4488925
579,193.4698363
578,193.4880243
577,193.4986152
576,193.5096382
575,193.5239682
574,193.537747
573,193.5586908
572,193.5790834
571,193.592311
570,193.6044364
569,193.617664
568,193.6292382
567,193.6507331
566,193.66837
565,193.679393
564,193.6942741
563,193.7124621
562,193.737264
561,193.7648216
560,193.7830096
559,193.802851
558,193.8160787
557,193.8348178
556,193.8541082
555,193.8722962
554,193.886075
553,193.897098
552,193.9075699
551,193.9180418
550,193.9323717
549,193.9461505
548,193.954969
547,193.9632362
546,193.9826136
545,193.9908809
544,194.0178874
543,194.0360754
542,194.0520588
541,194.063633
540,194.074656
539,194.0911277
538,194.1093158
537,194.1252992
536,194.1374245
535,194.1556125
534,194.1721471
533,194.1853747
532,194.1991535
531,194.2184438
530,194.2471037
529,194.2630871
528,194.2895424
527,194.3022189
526,194.3159977
525,194.3358392
524,194.3485157
523,194.3578853
522,194.3738687
521,194.3881986
520,194.4008751
519,194.4179608
518,194.4378023
517,194.454888
516,194.4670133
515,194.4868548
514,194.5000824
513,194.5182705
512,194.5331516
511,194.5426356
510,194.5580679
509,194.5701932
508,194.5779094
507,194.5916882
506,194.6010577
505,194.6131831
504,194.6291665
503,194.6412918
502,194.6561729
501,194.6694006
500,194.6820771
499,194.6997139
498,194.7212088
497,194.7432549
496,194.7586872
495,194.7823867
494,194.801677
493,194.8154558
492,194.8286835
491,194.845218
490,194.8600991
489,194.8716733
488,194.8837987
487,194.8970263
486,194.9152143
485,194.9278908
484,194.9438742
483,194.9604088
482,194.9785968
481,194.9956825
480,195.0050521
479,195.0248935
478,195.0431831
477,195.0635757
476,195.0817637
475,195.0933379
474,195.1027075
473,195.1164863
472,195.1302651
471,195.1451462
470,195.1605784
469,195.1809711
468,195.1991591
467,195.2178982
466,195.2327793
465,195.2482116
464,195.264195
463,195.2746669
462,195.2989176
461,195.3099406
460,195.3325378
459,195.3518281
458,195.3678115
457,195.37663
456,195.387653
455,195.4014318
454,195.413006
453,195.4223756
452,195.4372567
451,195.4510355
450,195.4626097
449,195.4725304
448,195.4830023
447,195.4967811
446,195.5155202
445,195.5331571
444,195.5514207
443,195.5712622
442,195.592206
441,195.6120475
440,195.6236216
439,195.6351958
438,195.6522815
437,195.6644069
436,195.6743276
435,195.6836972
434,195.6969248
433,195.7107036
432,195.7272382
431,195.7415681
430,195.7542446
429,195.7658188
428,195.7790465
427,195.7939276
426,195.8088087
425,195.8181783
424,195.8385709
423,195.8628216
422,195.8749469
421,195.8914815
420,195.9140787
419,195.9295109
418,195.9432897
417,195.9510059
416,195.9620289
415,195.9785634
414,196.002263
413,196.0143883
412,196.0353321
411,196.0469063
410,196.0756602
409,196.0949506
408,196.1114851
407,196.1263662
406,196.1406962
405,196.1528215
404,196.1704584
403,196.1831349
402,196.1985671
401,196.2151017
400,196.2299828
399,196.2492731
398,196.263603
397,196.2839957
396,196.2988768
395,196.3203717
394,196.3391108
393,196.3539919
392,196.3655661
391,196.3765892
390,196.3936749
389,196.4080048
388,196.4245394
387,196.437767
386,196.4565062
385,196.470285
384,196.4864995
383,196.5046876
382,196.5212221
381,196.5305917
380,196.5454728
379,196.560905
378,196.5768884
377,196.586258
376,196.593423
375,196.6060995
374,196.6198783
373,196.6320036
372,196.6534986
371,196.6667262
370,196.68767
369,196.6992442
368,196.7163299
367,196.7284552
366,196.7378248
365,196.7576663
364,196.7686893
363,196.7896331
362,196.8017584
361,196.8204976
360,196.836481
359,196.8541178
358,196.8673455
357,196.8761639
356,196.8915962
355,196.9048238
354,196.924147
353,196.9357212
352,196.9522558
351,196.9792622
350,196.9968991
349,197.0211498
348,197.0382355
347,197.0558723
346,197.0806742
345,197.0894926
344,197.0977599
343,197.1187037
342,197.1297267
341,197.1462612
340,197.1650004
339,197.1809838