sample_name,depth_top,depth_avg,depth_bottom,time_top,time_avg,time_bottom,Li_7_LR_ppt,Be_9_LR_ppt,Rb_85_LR_ppt,Sr_88_LR_ppt,Y_89_LR_ppq,Mo_95_LR_ppt,Ag_107_LR_ppt,Cd_111_LR_ppt,Cs_133_LR_ppt,Ba_137_LR_ppt,La_139_LR_ppq,Ce_140_LR_ppq,Pr_141_LR_ppq,Nd_146_LR_ppq,Sm_147_LR_ppq,Eu_153_LR_ppq,Gd_157_LR_ppq,Tb_159_LR_ppq,Dy_163_LR_ppq,Ho_165_LR_ppq,Er_166_LR_ppq,Tm_169_LR_ppq,Yb_172_LR_ppq,Lu_175_LR_ppq,W_182_LR_ppt,Re_185_LR_ppt,Tl_205_LR_ppt,Pb_208_LR_ppt,Th_232_LR_ppq,U_238_LR_ppt,Al_27_MR_ppt,P_31_MR_ppt,S_32_MR_ppb,Sc_45_MR_ppq,Ti_47_MR_ppt,V_51_MR_ppt,Cr_52_MR_ppt,Mn_55_MR_ppt,Fe_56_MR_ppt,Co_59_MR_ppt,Ni_60_MR_ppt,Cu_63_MR_ppt,Zn_66_MR_ppt,Ga_69_MR_ppt,K_39_HR_ppb,As_75_HR_ppt,Ca_44_HR_ppb,Mg_24_HR_ppb,Na_23_HR_ppb,,,Zr_90_LR_ppt,Bi_209_LR_ppt,Date_Analyzed
34,6.96755055217628,7.04958585570057,7.13162115922486,2020.25394911829,2020.23012183767,2020.20629455704,13.2305,0.5743,15.184,121.5122,7041.107,2.5284,1.1864,1.6455,2.1072,99.707,11781.6968,23823.1326,2906.3858,11207.6593,2029.0064,553.7546,2025.4731,288.1305,1452.9952,273.4209,624.7575,80.5275,590.5406,76.9316,2.102,3.212,1.4542,44.5023,9907.1864,1.233,10192.2846,8860.2497,22.4323,41801.9653,252.2622,15.0535,34.251,254.063,6765.9951,5.8802,34.6614,47.8435,459.7799,2.7808,3.4766,10.6637,15.6057,13.2994,6.6053,,,100.71,5480.2805,04-18-2023
35,7.13162115922486,7.22450136396287,7.31738156870089,2020.20629455704,2020.17931735811,2020.15234015918,5.3208,0.2779,3.2621,57.6231,1706.8511,1.5187,0.5957,0.8292,0.6536,27.5275,2071.5468,4503.8103,642.8528,2133.2708,415.4566,115.8158,402.5393,55.989,330.0012,66.4723,160.8557,19.2619,144.0987,21.6242,1.4546,2.5138,0.9314,16.1055,4274.0278,0.4627,9294.0194,11041.4743,16.3484,17077.0521,52.8185,3.7595,18.7636,81.4046,1095.8584,2.3435,18.4578,16.9042,7295.7657,1.3093,1.6548,3.9599,7.1987,19.6526,24.4118,,,22.0862,1898.5713,04-18-2023
36,7.31738156870089,7.40253380638122,7.48768604406155,2020.15234015918,2020.12760756022,2020.10287496126,3.5634,0.1482,2.4197,15.7827,998.8642,1.2718,0.5633,0.3593,0.6591,19.6338,1429.2501,2696.1459,431.1739,1614.3858,387.7471,93.4106,284.9785,39.3773,220.4675,43.3854,110.5356,7.2118,78.787,13.2371,1.6178,2.0331,0.6852,7.1249,2839.9043,0.3833,2158.6141,4788.5506,11.653,8636.8207,55.1577,2.3572,16.6207,37.5983,1849.5724,1.5537,15.5451,22.3016,1456.1432,0.5159,1.242,1.8708,2.1188,5.7362,7.6071,,,41.178,1242.4134,04-18-2023
37,7.48768604406155,7.57451179456521,7.66133754506887,2020.10287496126,2020.07765628791,2020.05243761456,3.4179,0.0741,1.0905,10.4947,277.0647,2.4749,1.0202,0.2851,0.3602,11.725,361.1862,742.5278,132.0083,325.2625,138.1633,43.6274,129.3254,20.5932,86.1488,14.3959,23.8568,2.0851,40.0837,1.1807,1.8581,2.4518,0.6836,3.8858,1164.2247,0.223,2846.6128,7540.8247,8.2809,6303.3449,44.2506,2.5719,130.6911,30.6254,1266.0614,1.1996,18.2896,9.9064,253.172,0.4889,1.0466,2.1826,1.5423,9.6978,5.1684,,,40.5742,401.2414,04-18-2023
38,7.66133754506887,7.75038980724126,7.83944206941364,2020.05243761456,2020.02657224746,2020.00070688036,10.1935,0.4076,8.3093,11.0997,1029.6847,2.2907,0.5332,0.3876,0.9905,31.0219,3632.9523,9097.6974,1300.3144,4894.0024,1120.9303,66.5353,814.3305,78.8566,355.8504,41.8462,106.666,13.1074,102.9765,11.4025,2.1679,2.2761,0.7828,4.7229,3941.7716,3.9851,4181.8866,6074.2879,4.4908,18814.7468,225.4776,6.2441,27.199,63.5227,3879.6609,1.6868,17.6256,11.5466,175.7771,1.5059,1.7537,2.8686,1.628,8.0242,8.074,,,47.2528,1209.1299,04-18-2023
39,7.83944206941364,7.94289407726883,8.04634608512401,2020.00070688036,2019.97065908489,2019.94061128941,2.9847,0.1853,1.6578,10.6293,333.048,1.5004,1.3812,0.4935,0.402,15.2619,503.4787,1050.3278,189.4368,522.5997,175.796,49.6107,148.4061,19.232,89.2482,15.422,40.883,5.1611,40.0837,4.0638,1.7644,1.8893,0.6668,11.24,5385.1613,0.1901,1428.6247,4652.4456,8.1534,13105.1785,43.7151,2.1761,18.104,28.9405,588.7209,1.1546,14.7395,13.7408,164.9178,0.452,1.3682,1.9332,1.8056,5.5212,3.8052,,,55.1612,784.0049,04-18-2023
40,8.04634608512401,8.13310382896615,8.21986157280829,2019.94061128941,2019.9154123687,2019.890213448,3.933,0.389,1.304,14.9883,322.6386,1.2587,0.3776,0.3699,0.4217,13.8672,544.2506,1084.554,176.3966,526.1077,163.912,45.6185,212.3542,19.7765,93.3808,22.6046,32.3699,6.9554,34.0363,6.9468,10.2518,2.1946,0.6756,7.0527,1593.0868,0.343,2210.5136,4457.5902,11.6251,3721.6271,42.6723,1.6997,18.8926,37.45,669.0373,0.9292,13.3495,8.6667,211.3061,0.452,1.121,1.6214,2.2046,8.7983,7.5903,,,37.04,456.8303,04-18-2023
41,8.21986157280829,8.30519111970284,8.39052066659738,2019.890213448,2019.8654293493,2019.8406452506,4.4026,0.0741,1.3148,13.3895,239.3075,1.3332,0.5314,0.3275,0.3567,11.6709,318.9374,578.4016,116.8009,309.5551,98.55,28.1962,259.0363,26.0379,53.0883,10.035,40.1091,4.1358,26.7795,2.4912,1.9737,1.814,0.642,6.1725,1472.3669,0.297,1439.9662,2106.692,9.7837,3225.1429,39.7411,1.4246,16.0053,27.6085,494.6752,0.9958,17.8204,17.1393,299.6353,0.2751,1.2288,1.7461,2.7399,5.7398,3.4818,,,49.3751,742.1587,04-18-2023
42,8.39052066659738,8.49233962459776,8.59415858259815,2019.8406452506,2019.81107177698,2019.78149830336,6.1419,0.2038,4.2015,11.1354,556.5605,1.3867,1.1928,0.4264,0.8381,17.5677,802.9142,1760.0293,255.5308,917.3265,249.0806,78.9749,333.4408,41.2856,208.0595,28.248,77.2571,10.0314,53.388,10.6162,1.7527,2.145,0.6739,7.2628,991.8997,0.7435,2631.792,8606.8604,12.6376,6650.8839,66.2904,2.7598,18.5759,37.4284,1300.6201,1.1288,26.0273,26.5504,483.5025,0.6264,2.0985,2.6192,1.8594,7.0166,5.1924,,,66.9755,519.8544,04-18-2023
43,8.59415858259815,8.68949788658329,8.78483719056843,2019.78149830336,2019.75380685525,2019.72611540715,5.8751,0.1112,1.977,11.7011,579.5772,1.6453,0.599,0.4229,0.5271,14.9368,928.9313,1796.6456,262.9624,866.6789,209.4673,60.0592,217.591,28.488,129.5511,29.0176,69.5179,10.2877,77.5775,8.5194,1.5986,2.9211,0.8325,7.7643,1939.5918,0.5226,3577.6689,8465.4091,11.7725,5657.9154,58.5962,2.4198,32.2795,27.9137,979.2583,0.9486,17.5371,13.7629,1880.2465,0.5994,1.1747,3.6169,1.8569,10.8361,6.3268,,,59.2748,706.082,04-18-2023
44,8.78483719056843,8.87640069683197,8.96796420309551,2019.72611540715,2019.69952064532,2019.6729258835,4.9025,0.1482,1.0046,9.8353,310.4734,2.2462,0.5629,0.437,0.3538,10.8209,431.9623,921.6228,170.1803,492.8778,118.3566,51.5919,151.88,17.8709,129.5407,13.8828,43.9786,4.6485,30.4079,5.8985,1.3273,0.5627,0.5862,11.1975,777.0444,0.3118,1258.1886,2605.2834,16.9412,1983.9324,40.7557,2.1448,17.2848,27.8576,525.3927,0.8606,11.8799,10.6076,1093.0244,0.3267,1.1233,2.245,1.6154,5.4416,2.783,,,23.9441,425.3154,04-18-2023
45,8.96796420309551,9.05257199465437,9.13717978621323,2019.6729258835,2019.64835141975,2019.623776956,5.6207,0.1297,1.5163,10.739,365.5983,1.3463,0.5754,0.2568,0.5095,12.5762,525.3397,1111.3234,203.0816,634.384,205.506,53.588,176.0248,19.5043,162.6219,15.422,35.4656,10.8004,36.4553,6.6847,1.4784,0.6129,0.5892,8.0561,926.9024,1.149,1211.8135,2995.6821,13.6979,2927.2523,48.309,2.0262,12.9453,32.223,636.8283,1.0194,11.2779,7.1811,85.1959,0.4225,1.0102,2.931,1.7993,4.5523,3.1136,,,3.1263,684.2917,04-18-2023
46,9.13717978621323,9.22160063104126,9.30602147586928,2019.623776956,2019.59925679123,2019.57473662645,7.5146,0.1667,4.3641,14.9527,802.2226,1.388,0.5836,0.2922,0.8746,25.0022,1376.2485,2830.7866,376.2599,1265.0358,324.3459,76.481,319.5969,39.6522,205.9932,37.4828,84.2224,11.0567,107.8144,17.9548,1.6123,2.2439,0.6519,7.6755,2084.5172,1.1205,3238.5573,11396.317,6.104,6601.2354,97.6028,3.3837,14.1322,41.17,1385.2468,1.2984,15.731,17.4434,222.5999,0.8156,1.5626,4.3965,1.8906,7.9361,4.3688,,,75.4087,1499.1574,04-18-2023
47,9.30602147586928,9.40352080536781,9.50102013486634,2019.57473662645,2019.54641779559,2019.51809896474,5.7601,0.2223,1.0664,13.6358,843.0363,1.1399,0.3806,0.8894,0.3657,13.7591,895.9325,1077.8715,181.0378,478.8808,142.1246,52.5875,321.3079,34.7493,115.0768,31.5828,77.2571,12.0846,61.8543,7.9952,1.4348,2.4618,0.6823,9.3531,1459.0331,0.6919,1658.3843,10037.8369,14.1755,11019.9448,39.3184,2.5361,14.8028,33.7152,488.2995,1.2318,14.1994,20.6252,1035.0643,0.3955,1.0204,1.6214,2.5542,9.3436,20.4723,,,86.6464,365.1532,04-18-2023
48,9.50102013486634,9.59301978083036,9.68501942679439,2019.51809896474,2019.49137752547,2019.46465608619,6.2479,0.2285,1.3904,9.4996,699.3778,1.4886,0.3998,0.3628,0.5422,13.0332,734.7439,1490.7716,188.795,721.7346,132.2213,57.5703,138.0361,27.1322,161.5681,28.5045,81.9006,10.5441,67.9017,6.6847,1.4176,1.0171,0.6566,7.1368,1040.1776,1.3626,1365.3162,3698.7217,13.4748,6104.7512,46.7589,1.5834,11.8176,42.5383,490.2479,1.3348,11.0831,10.8236,398.6622,0.3955,0.8871,1.9644,2.0602,5.1116,2.3826,,,10.3015,360.5514,04-18-2023
49,9.68501942679439,9.76606826712384,9.8471171074533,2019.46465608619,2019.44111532533,2019.41757456447,13.6942,0.352,13.6092,26.9843,5067.0088,3.1189,0.4836,0.4759,2.5529,63.9841,5018.5704,9846.008,1454.2982,5178.7076,1299.3487,375.3594,1172.4745,192.9958,1014.5712,173.7829,525.6109,81.8091,486.4773,62.5137,1.8292,2.1946,0.9225,11.3541,4041.6963,4.5889,6085.6793,5627.9032,15.9075,15935.1384,251.807,7.4742,25.1816,161.0623,4169.0007,3.3113,18.0417,20.5109,306.7294,1.7392,2.2246,9.9466,3.5098,7.69,5.6892,,,54.4546,1066.4943,04-18-2023
50,9.8471171074533,9.94336907587452,10.0396210442957,2019.41757456447,2019.38961803156,2019.36166149866,14.7856,0.389,18.0134,40.9389,9670.8896,1.8779,0.7212,2.6782,1.903,83.1257,8738.9566,18823.9045,2420.7599,9683.7453,2124.0982,542.3006,2341.9989,380.7687,2096.3325,365.8405,1026.8154,127.9641,877.4284,102.8843,1.6097,1.8007,1.0385,28.0263,10331.357,6.0533,5030.4884,3934.246,21.9565,24276.073,168.1289,6.3627,16.1094,399.2772,2923.0795,9.5993,24.7082,31.597,377.7426,1.2651,4.8979,11.4433,6.822,5.7173,4.9124,,,63.778,1011.4949,04-18-2023
51,10.0396210442957,10.136310472488,10.2329999006803,2019.36166149866,2019.3335779049,2019.30549431113,182.2825,3.3718,223.9108,271.6523,41616.3013,24.4652,1.6425,3.5165,24.9689,1327.2614,42243.9491,87743.98,11346.3748,45447.3873,10129.555,3553.126,10457.9638,1582.7741,8879.5477,1580.7002,4350.97,582.6615,3708.2804,485.9211,17.0742,4.5602,3.6315,80.8707,42266.9571,21.3937,73522.6371,4955.6295,26.8805,289423.4606,4884.8241,105.7352,93.7294,1572.2697,54817.1896,33.9662,88.0073,105.8535,833.6864,25.6894,25.5908,104.8289,25.485,27.1482,19.4626,,,42.1197,7526.454,04-18-2023
52,10.2329999006803,10.3254093148399,10.4178187289994,2019.30549431113,2019.27865385405,2019.25181339697,14.2519,0.4076,15.7908,153.0312,6395.1773,2.9582,0.5942,2.3917,1.714,105.8873,10239.5503,21355.9484,2617.9383,10625.805,2171.6936,506.9033,1835.1497,298.7476,1399.2408,249.7773,666.5335,77.4541,532.4616,81.6467,2.9613,2.8626,1.2977,43.4559,31175.8346,1.504,8280.6949,6313.324,23.9899,152865.4811,215.6949,16.3125,26.4326,339.2707,5986.0672,6.9146,25.2659,31.8057,334.873,2.4074,3.9019,10.6326,23.1405,10.3836,7.752,,,66.4505,4045.5283,04-18-2023
53,10.4178187289994,10.4977100820389,10.5776014350784,2019.25181339697,2019.22860883008,2019.20540426318,24.4668,0.9078,32.9572,206.583,14900.1504,3.4416,1.2067,2.5793,3.4142,209.0186,24897.1181,55228.3798,6658.067,26470.2025,5167.7683,1310.712,4733.3123,663.1074,3100.7011,573.6151,1545.1313,196.7376,1204.2894,152.1844,2.4041,3.1006,1.5924,58.1297,10445.4974,2.6628,22446.7355,4272.6207,24.4052,75761.4847,652.494,38.6711,42.2354,555.2834,16678.0381,12.4459,40.0375,58.8735,372.1415,6.247,6.7069,16.3074,24.49,16.4745,8.3271,,,66.1897,5007.3395,04-18-2023
54,10.5776014350784,10.6653417151397,10.7530819952011,2019.20540426318,2019.17991996332,2019.15443566345,18.0383,0.6484,19.9456,137.2732,10025.5095,2.3338,0.6261,1.6245,2.3345,144.1062,15966.0496,33333.9272,4051.9847,15856.7685,3398.9936,794.4223,3184.6448,414.2752,2188.4267,353.5172,1044.6697,138.4864,882.2421,119.9336,2.2845,2.9914,1.3734,41.7572,11850.4243,1.3942,16961.2352,5459.1086,20.6166,79485.1162,498.1305,28.7016,46.661,343.1544,11564.4509,8.494,31.7921,40.107,277.6237,4.3039,4.1073,15.4344,16.6761,12.9438,7.0561,,,65.431,3255.6868,04-18-2023
55,10.7530819952011,10.8341739258725,10.9152658565439,2019.15443566345,2019.13088238693,2019.10732911041,8.7995,0.4261,5.0636,74.3946,2976.24,2.8863,0.4238,0.9141,0.8236,39.0012,4776.0527,9371.9238,1165.2895,4425.6952,940.5906,211.9325,1148.2606,117.5246,682.5608,127.8117,296.33,47.2019,225.1457,31.8459,1.3213,2.1914,0.7964,21.4694,6650.5447,0.8154,3049.9599,11092.4876,12.288,32021.2265,77.6767,6.0317,15.9699,139.0456,1951.412,2.7448,13.7213,13.8031,191.4318,0.678,1.8321,4.49,9.5074,7.2017,5.0478,,,30.7017,1377.0701,04-18-2023
56,10.9152658565439,11.0019549205873,11.0886439846306,2019.10732911041,2019.08215013785,2019.0569711653,9.1026,0.2408,5.4112,54.3557,3035.2798,1.5853,0.5193,1.0201,1.1154,42.9706,5314.1304,11210.088,1361.4851,5184.0481,1053.548,247.3248,1104.9833,112.0772,746.6879,141.4073,338.8955,40.2784,226.3552,37.612,1.5854,1.9811,0.8115,25.8201,3794.2842,0.7432,3136.0939,9551.4203,13.3809,16679.8647,79.1986,6.8323,14.3534,116.4821,2026.4745,2.3091,13.5885,12.4641,180.9338,0.9384,1.9345,5.4566,6.4536,6.1253,6.1168,,,344.7051,2707.7934,04-18-2023
57,11.0886439846306,11.1633219923153,11.238,2019.0569711653,2019.03528082262,2019.01359047994,13.1457,0.3335,12.882,38.2712,4236.2645,1.5604,0.6099,0.8751,2.1882,61.4524,7352.55,14974.9633,1843.2913,6858.0375,1392.5589,381.8405,1518.5374,197.0929,1010.4076,175.3143,479.8955,50.0216,315.8685,54.6535,1.8292,2.4864,0.8534,22.8793,6233.1783,0.7517,7028.0372,8694.6442,8.5392,27850.7592,173.7135,10.2675,9.6394,113.5601,4931.0913,3.144,9.3921,13.1133,313.494,2.1347,2.4897,7.2651,4.089,8.6455,5.5068,,,46.2569,2435.5552,04-18-2023
58,11.238,11.3242282268388,11.4104564536775,2019.01359047994,2018.98854535826,2018.96350023659,10.3027,0.2964,9.0786,55.8311,2260.7919,1.4951,0.6013,0.6879,1.3409,49.4202,3506.1505,7422.0006,937.1228,3555.4183,623.486,196.9991,867.9087,110.9964,546.0828,87.0017,212.7082,29.2562,227.5526,25.8177,4.1742,2.4905,0.7731,18.92,4718.8522,0.5881,4081.1719,6053.1233,11.7253,23978.1825,75.8729,7.0918,6.9833,114.4407,2152.3412,2.0988,12.3048,26.6432,312.4936,0.9703,2.5579,4.3653,7.2698,8.5908,6.6082,,,58.0696,1826.933,04-18-2023
59,11.4104564536775,11.4991970740543,11.5879376944311,2018.96350023659,2018.93772538633,2018.91195053607,8.354,0.0741,3.7485,29.87,939.8072,0.94,0.4069,0.5112,0.8532,22.6328,1919.6008,3608.7675,529.574,2142.1368,342.1719,110.3402,444.1229,56.2612,203.9476,43.8984,93.5094,14.1327,89.6723,12.975,1.9874,2.0709,0.5847,9.0906,3239.5867,0.2501,2097.3803,6685.5052,7.0624,11466.7806,50.5638,3.7214,4.3582,59.839,1072.7012,1.073,3.8766,10.4495,107.5037,0.4938,1.3014,3.3051,4.2951,5.6294,4.871,,,32.7955,879.6429,04-18-2023
60,11.5879376944311,11.6724406014022,11.7569435083733,2018.91195053607,2018.88740653621,2018.86286253636,6.7509,0.2161,3.1985,20.1715,591.2655,1.0902,0.4697,0.2851,0.6496,15.6368,824.7826,1658.0504,270.115,842.2975,197.5833,75.9882,267.7125,30.9381,169.8333,18.7567,81.1267,9.5187,29.1984,7.2089,1.6219,2.2915,0.5931,5.7608,1904.5812,0.7538,1934.9238,5896.2232,6.3251,6452.2902,51.832,2.5987,3.4264,35.3228,1156.0763,0.7211,2.4158,9.1105,241.5171,0.5478,1.3093,1.9332,2.3239,6.98,12.4402,,,47.0171,394.951,04-18-2023
61,11.7569435083733,11.8445754008518,11.9322072933303,2018.86286253636,2018.83740971783,2018.8119568993,8.0055,0.0926,3.7466,21.163,726.2574,8.4366,1.2119,0.384,0.7264,18.9065,1256.5499,2755.6084,353.9185,1188.1045,336.2299,54.5836,383.6141,46.1831,205.9932,34.9176,84.9963,11.0567,93.3007,9.8299,1.808,2.1099,0.6025,5.1612,1753.8414,0.3407,2479.7436,6973.5503,4.2021,6948.7744,57.2715,3.0751,6.036,74.1454,1194.9056,1.0902,20.8659,81.6011,535.7932,0.651,1.5941,2.0891,3.496,6.4189,5.5646,,,38.2177,393.8063,04-18-2023
62,11.9322072933303,12.0186198310713,12.1050323688123,2018.8119568993,2018.78685824424,2018.76175958918,22.3805,0.5558,23.5941,38.1727,5245.9575,1.7851,0.5855,0.6914,3.3958,72.7992,8285.5504,16907.2721,2248.1397,8516.3544,1650.3624,340.9676,1625.7283,208.2627,1106.6034,209.7215,558.1077,65.9141,441.6904,60.1575,7.5516,2.393,1.0022,16.6881,4773.036,0.9502,8520.289,6974.9177,13.0276,33014.1949,361.8653,12.6479,24.2206,132.5008,6480.7797,3.556,12.0038,25.4021,164.1554,2.6236,3.2592,5.7996,4.0743,7.5902,7.1824,,,61.5021,1791.4115,04-18-2023
63,12.1050323688123,12.1995980964857,12.2941638241591,2018.76175958918,2018.73429282751,2018.70682606584,8.9873,0.1112,4.5664,17.3418,1850.9648,1.1986,0.6077,0.483,0.9645,22.447,3946.5866,7830.9306,1097.3043,4301.6067,831.5946,179.5667,814.3306,88.9292,467.4814,61.8523,203.4212,30.5379,145.3082,18.7411,1.4211,2.3562,0.8182,10.3704,5213.5765,0.4435,2695.6571,6018.9644,8.615,20055.9573,59.2162,3.3815,5.1639,50.6009,2146.4906,1.0537,11.8799,13.829,2851.3957,0.678,1.3088,3.0245,2.9866,6.2135,4.3351,,,50.0804,1101.9987,04-18-2023
64,12.2941638241591,12.3789966775489,12.4638295309388,2018.70682606584,2018.68218623253,2018.65754639923,9.0145,0.1112,4.6008,32.965,1106.5083,0.9739,0.3445,1.3311,0.9019,24.6736,2022.2764,4389.225,570.2479,1925.5492,484.7997,106.3579,532.2848,51.6278,297.9738,46.7176,102.0302,21.0536,138.0634,6.6847,1.3279,2.0239,0.772,13.6136,2532.5358,0.3567,2298.6442,5453.5712,6.5996,8587.1722,60.259,3.2764,3.6278,55.2439,1214.0156,1.0323,2.6725,9.7671,579.6116,0.6436,1.4576,2.8686,4.4212,5.312,3.4319,,,46.7296,684.2459,04-18-2023
65,12.4638295309388,12.5355805898731,12.6073316488075,2018.65754639923,2018.63670619334,2018.61586598744,9.1147,0.5805,6.8291,31.8577,1458.1412,1.422,0.6385,0.4759,1.1954,35.0295,6218.6515,12216.4218,1420.1568,5309.812,861.2253,227.8665,883.4809,90.0236,367.2046,65.4462,140.7261,17.9777,93.3007,16.9065,2.2277,2.5906,0.7467,10.3025,3267.0862,0.4701,4113.3156,6631.7317,5.1699,14892.5216,104.7051,8.8161,9.4889,154.6649,11109.239,2.1804,9.3213,27.6523,203.418,1.0096,1.6646,3.9911,3.2245,8.2516,4.1317,,,35.913,598.8993,04-18-2023
66,12.6073316488075,12.7022388666025,12.7971460843975,2018.61586598744,2018.58830003944,2018.56073409143,7.1267,0.1297,2.0535,13.8117,258.3877,3.6533,0.5768,0.2356,0.5095,13.9396,853.6801,1630.9037,202.756,803.7446,201.5446,46.6141,205.4236,20.8681,82.0162,17.4741,26.1785,6.1864,44.9216,1.967,1.8378,2.207,0.5536,7.1745,1868.7886,0.2254,1927.9166,9464.0696,4.5129,8388.5786,50.0001,1.7713,8.1365,24.8112,700.4763,0.5494,0.1848,9.6754,119.4532,0.4618,0.9852,1.4967,1.7588,6.2336,6.3541,,,17.4504,386.3311,04-18-2023
67,12.7971460843975,12.8667479493726,12.9363498143478,2018.56073409143,2018.54051812224,2018.52030215305,6.5508,0.1853,1.0498,5.9571,180.7057,1.1685,0.393,0.1932,0.4747,9.1196,80.3211,174.2241,69.9479,80.8205,56.956,54.0858,146.6087,8.3427,38.6243,8.2394,17.6654,7.7244,25.57,5.3743,1.4272,2.6742,0.4622,2.5633,1330.7687,0.9262,1942.3577,10349.7431,3.2102,2728.6587,42.4186,0.8677,4.8518,18.5586,1078.5966,0.3562,3.7084,5.6076,136.9789,0.2948,0.7233,1.1225,1.1494,7.2835,2.5662,,,13.076,235.0813,04-18-2023
